"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription"
"pavlovia","0","29","0.0-0.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","6114","0.0-1.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","3609.6099999995204","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","7064","0.0-2.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","947.890000003099","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","",""
"survey-text","3","14321","0.0-3.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","7251.12000000081","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","15287","0.0-4.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","963.8799999956973",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","16310","0.0-5.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","1021.6550000041025","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","",""
"html-button-response","6","17064","0.0-6.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","752.2450000033132","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","",""
"fullscreen","7","18674","0.0-9.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","","","","","","","true","","","","","","","","","","","","","",""
"instructions","8","20844","0.0-10.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","2169.0550000057556","","","","","","","[{""page_index"":0,""viewing_time"":955.2050000056624},{""page_index"":1,""viewing_time"":628.3849999963422},{""page_index"":2,""viewing_time"":585.1499999989755}]","","","","","","","","","","","","",""
"html-keyboard-response","9","21845","0.0-11.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","",""
"html-keyboard-response","10","23652","0.0-12.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-text-response","11","28821","0.0-13.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","5162.694999999076","","./audio/sim_nm-fs_Babble0_CA02_02.wav","","0","","","","","{""Transcription"":""sdf""}","1920 x 1080","","","","","","","","","",""
"html-keyboard-response","12","30625","0.0-14.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
"audio-slider-response","13","33872","0.0-15.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","3245","","./audio/sim_nm-fs_Babble0_CA02_02.wav","","0","","","","","","1920 x 1080","62","","","","","","","","",""
"html-keyboard-response","14","34373","0.0-16.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","./audio/sim_nm-fs_Babble0_CA02_02.wav","","","","","","null","","","","true","","1","2","","","","",""
"html-keyboard-response","15","35379","0.0-17.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","",""
"html-keyboard-response","16","37184","0.0-18.0","Chrome","90.0","macOS","10.15.7","1920 x 1080","1","1","1","1","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","",""
