"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","rt","url"
"pavlovia","0","1928","0.0-0.0","Chrome","87.0","Windows","10","1920 x 1080","",""
"external-html","1","1024974","0.0-1.0","Chrome","87.0","Windows","10","1920 x 1080","1012509.45","consent_2020-05-12.html"
