"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"pavlovia","0","32","0.0-0.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","41810","0.0-1.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","41568.09999999404","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","52571","0.0-2.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","10758.59999999404","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","63399","0.0-3.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","10823.59999999404","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","68431","0.0-4.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","5030.0999999940395",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","117471","0.0-5.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","49037.90000000596","","audio/attention/check1_70.wav","0","3","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","119663","0.0-6.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","2190.7999999821186","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","","",""
"fullscreen","7","123510","0.0-9.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","","","","","","","true","","","","","","","","","","","","","","","","",""
"instructions","8","162156","0.0-10.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","38643.90000000596","","","","","","","[{""page_index"":0,""viewing_time"":18898.59999999404},{""page_index"":1,""viewing_time"":16502.5},{""page_index"":2,""viewing_time"":3242}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","163164","0.0-11.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","10","164969","0.0-12.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","11","178712","0.0-13.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","13741.40000000596","","./audio/sim_N95_Babble0_CA01_09.wav","","0","","","","","{""Transcription"":""NA""}","1536 x 864","","","","","","","","","","","","",""
"html-keyboard-response","12","180515","0.0-14.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","13","192567","0.0-15.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","12051","","./audio/sim_N95_Babble0_CA01_09.wav","","0","","","","","","1536 x 864","100","","","","","","","","","","","",""
"html-keyboard-response","14","193081","0.0-16.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","./audio/sim_N95_Babble0_CA01_09.wav","","","","","","null","","","","true","","1","2","","","","","","","",""
"html-keyboard-response","15","194093","0.0-17.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","16","195901","0.0-18.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","17","208345","0.0-19.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","12442.300000011921","","./audio/sim_nm_quiet_CA01_05.wav","","0","","","","","{""Transcription"":""Rice is often served in round bowls.""}","1536 x 864","","","","","","","","","","","","",""
"html-keyboard-response","18","210152","0.0-20.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","19","220823","0.0-21.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","10669","","./audio/sim_nm_quiet_CA01_05.wav","","1","","","","","","1536 x 864","2","","","","","","","","","","","",""
"html-keyboard-response","20","221331","0.0-22.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","./audio/sim_nm_quiet_CA01_05.wav","","","","","","null","","","","true","","2","2","","","","","","","",""
"html-keyboard-response","21","222352","0.0-23.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","22","224173","0.0-24.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","23","241573","0.0-25.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","17398.69999998808","","./audio/sim_nm-fs_Babble0_CA02_02.wav","","0","","","","","{""Transcription"":""a rod is used as a trap to get salmon""}","1536 x 864","","","","","","","","","","","","",""
"html-keyboard-response","24","243392","0.0-26.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","25","252261","0.0-27.0","Chrome","91.0","Windows","10","1536 x 864","60b675f26a586f22d6c47e29","27","no","yes","8861","","./audio/sim_nm-fs_Babble0_CA02_02.wav","","0","","","","","","1536 x 864","56","","","","","","","","","","","",""
