"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","10","0.0-0.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","37456","0.0-1.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","37344","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","56427","0.0-2.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","18967.000000000007","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","76986","0.0-3.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","20527","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","79978","0.0-4.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","2991",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","92450","0.0-5.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","12403","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","96544","0.0-6.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","4093","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","101307","0.0-9.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","141956","0.0-10.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","40650","","","","","","","[{""page_index"":0,""viewing_time"":24602},{""page_index"":1,""viewing_time"":10943.00000000003},{""page_index"":2,""viewing_time"":5103.999999999971}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","142959","0.0-11.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","144761","0.0-12.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","158434","0.0-13.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","13671","","audio/KAmp_Chattervox_GBF_7.wav","","0","","","","","15","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","12","160236","0.0-14.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","165827","0.0-15.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","5587","","audio/KAmp_Chattervox_GBF_7.wav","","0","","","","","","1440 x 900","76","","","","","","","","","","",""
"html-keyboard-response","14","166330","0.0-16.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","audio/KAmp_Chattervox_GBF_7.wav","","","","","","null","15","","76","true","","1","2","","","","","","",""
"html-keyboard-response","15","167331","0.0-17.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","169133","0.0-18.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","173732","0.0-19.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","4598","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","5","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","18","175535","0.0-20.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","179138","0.0-21.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","3602","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","","1440 x 900","21","","","","","","","","","","",""
"html-keyboard-response","20","179640","0.0-22.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","audio/KAmp_Spokeman_MAX_3.wav","","","","","","null","5","","21","true","","2","2","","","","","","",""
"html-keyboard-response","21","180641","0.0-23.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","182444","0.0-24.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","186122","0.0-25.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","3677","","audio/KAmp_NoDevice_ND_2.wav","","0","","","","","0","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","24","187924","0.0-26.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","190964","0.0-27.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","3039","","audio/KAmp_NoDevice_ND_2.wav","","0","","","","","","1440 x 900","0","","","","","","","","","","",""
"html-keyboard-response","26","191466","0.0-28.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","audio/KAmp_NoDevice_ND_2.wav","","","","","","null","0","","0","true","","3","2","","","","","","",""
"html-keyboard-response","27","192469","0.0-29.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","194271","0.0-30.0","Safari","14.0","macOS","10.15.7","1440 x 900","5fbc7b9bc5b45b14d6bc7d0b","20","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
