"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","28","0.0-0.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","14281","0.0-1.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","14037.944999989122","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","20999","0.0-2.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","6712.019999977201","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","36194","0.0-3.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","15187.064999947324","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","38118","0.0-4.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","1919.7800001129508",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","45116","0.0-5.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","6991.660000057891","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","48100","0.0-6.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","2977.184999966994","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","50528","0.0-9.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","69734","0.0-10.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","19199.239999987185","","","","","","","[{""page_index"":0,""viewing_time"":9712.814999977127},{""page_index"":1,""viewing_time"":6794.869999866933},{""page_index"":2,""viewing_time"":2690.4750000685453}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","70736","0.0-11.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","72539","0.0-12.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","76345","0.0-13.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","3797","","audio/KAmp_Voicebuddy_MAX_1.wav","","0","","","","","36","1536 x 864","","","","","","","","","","","",""
"html-keyboard-response","12","78148","0.0-14.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","80875","0.0-15.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","2731","","audio/KAmp_Voicebuddy_MAX_1.wav","","0","","","","","","1536 x 864","38","","","","","","","","","","",""
"html-keyboard-response","14","81378","0.0-16.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","audio/KAmp_Voicebuddy_MAX_1.wav","","","","","","null","36","","38","true","","1","2","","","","","","",""
"html-keyboard-response","15","82382","0.0-17.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","84184","0.0-18.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","87261","0.0-19.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","3072","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","4","1536 x 864","","","","","","","","","","","",""
"html-keyboard-response","18","89065","0.0-20.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","92876","0.0-21.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","3808","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","","1536 x 864","25","","","","","","","","","","",""
"html-keyboard-response","20","93379","0.0-22.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","audio/KAmp_Spokeman_MAX_3.wav","","","","","","null","4","","25","true","","2","2","","","","","","",""
"html-keyboard-response","21","94383","0.0-23.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","96186","0.0-24.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","99911","0.0-25.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","3723","","audio/KAmp_NadyWA120BT_MAX_1.wav","","0","","","","","24","1536 x 864","","","","","","","","","","","",""
"html-keyboard-response","24","101716","0.0-26.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","103757","0.0-27.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","2037","","audio/KAmp_NadyWA120BT_MAX_1.wav","","0","","","","","","1536 x 864","52","","","","","","","","","","",""
"html-keyboard-response","26","104259","0.0-28.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","audio/KAmp_NadyWA120BT_MAX_1.wav","","","","","","null","24","","52","true","6","3","2","","","","","","",""
"html-keyboard-response","27","105262","0.0-29.0","Chrome","85.0","Chrome OS","","1536 x 864","5c7bc3509eabe400016d4900","37","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
