"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","27","0.0-0.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","73925","0.0-1.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","73713.9850000001","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","92102","0.0-2.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","18171.98999999983","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","105987","0.0-3.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","13875.175000000134","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","109257","0.0-4.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","3266.6450000001496",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","115528","0.0-5.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","6265.914999999935","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","118099","0.0-6.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","2566.7200000000303","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","120758","0.0-9.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","155464","0.0-10.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","34704.63500000004","","","","","","","[{""page_index"":0,""viewing_time"":12531.780000000028},{""page_index"":1,""viewing_time"":16842.48999999999},{""page_index"":2,""viewing_time"":5328.870000000054}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","156467","0.0-11.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","158271","0.0-12.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","164390","0.0-13.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","6118","","audio/KAmp_Minibuddy_GBF_6.wav","","0","","","","","7","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","12","166193","0.0-14.0","Chrome","86.0","Linux","","1366 x 768","5bcbe19f5c2b810001dc4dba","29","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
