"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"pavlovia","0","39","0.0-0.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","32954","0.0-1.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","32755.40000000596","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","40290","0.0-2.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","7324.799999982119","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","91343","0.0-3.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","51028.10000002384","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","94274","0.0-4.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","2908.800000011921",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","108150","0.0-5.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","13863.399999976158","","audio/attention/check1_70.wav","0","2","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","111200","0.0-6.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","3044.0999999940395","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","","",""
"fullscreen","7","113915","0.0-9.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","","","","","","","true","","","","","","","","","","","","","","","","",""
"instructions","8","208491","0.0-10.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","94574.59999999404","","","","","","","[{""page_index"":0,""viewing_time"":21479.19999998808},{""page_index"":1,""viewing_time"":67776.80000001192},{""page_index"":2,""viewing_time"":5315.699999988079}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","209499","0.0-11.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","10","211306","0.0-12.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","11","245015","0.0-13.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","33704","","./audio/sim_N95_quiet_CA01_03.wav","","1","","","","","{""Transcription"":""Tell me that""}","1366 x 768","","","","","","","","","","","","",""
"html-keyboard-response","12","246822","0.0-14.0","Chrome","91.0","Windows","10","1366 x 768","6005fb2ba814f058c85de83f","19","no","no","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
