"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","6","0.0-0.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","15267","0.0-1.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","15112.870000069961","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","36576","0.0-2.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","21304.629999911413","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","52665","0.0-3.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","16079.854999901727","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","55803","0.0-4.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","3135.3300001937896",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","65239","0.0-5.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","9433.014999842271","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","70018","0.0-6.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","4776.145000010729","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","73734","0.0-9.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","105305","0.0-10.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","31569.774999981746","","","","","","","[{""page_index"":0,""viewing_time"":16925.844999961555},{""page_index"":1,""viewing_time"":10187.949999934062},{""page_index"":2,""viewing_time"":4455.079999985173}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","106307","0.0-11.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","108109","0.0-12.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","117528","0.0-13.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","9381","","audio/KAmp_Spokeman_MAX_6.wav","","0","","","","","18","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","12","119331","0.0-14.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","125407","0.0-15.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","6080","","audio/KAmp_Spokeman_MAX_6.wav","","0","","","","","","1366 x 768","59","","","","","","","","","","",""
"html-keyboard-response","14","125910","0.0-16.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","audio/KAmp_Spokeman_MAX_6.wav","","","","","","null","18","","59","true","","1","2","","","","","","",""
"html-keyboard-response","15","126914","0.0-17.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","128717","0.0-18.0","Chrome","88.0","Windows","10","1366 x 768","5f1608e6099eee65ee87f71c","21","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
