"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","37","0.0-0.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","66092","0.0-1.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","65923.03500000072","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","83959","0.0-2.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","17863.01999999977","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","96210","0.0-3.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","12237.825000000157","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","100543","0.0-4.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","4330.249999999985",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","112587","0.0-5.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","12040.614999999889","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","116351","0.0-6.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","3761.544999999387","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","119241","0.0-9.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","163516","0.0-10.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","44273.71500000029","","","","","","","[{""page_index"":0,""viewing_time"":29505.154999999824},{""page_index"":1,""viewing_time"":10609.0400000003},{""page_index"":2,""viewing_time"":4158.954999999871}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","164518","0.0-11.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","166320","0.0-12.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","178780","0.0-13.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","12440","","audio/KAmp_Boomvox_GBF_6.wav","","0","","","","","15","2560 x 1440","","","","","","","","","","","",""
"html-keyboard-response","12","180581","0.0-14.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","191815","0.0-15.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","11229","","audio/KAmp_Boomvox_GBF_6.wav","","0","","","","","","2560 x 1440","66","","","","","","","","","","",""
"html-keyboard-response","14","192316","0.0-16.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","audio/KAmp_Boomvox_GBF_6.wav","","","","","","null","15","","66","true","","1","2","","","","","","",""
"html-keyboard-response","15","193318","0.0-17.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","195119","0.0-18.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","200328","0.0-19.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","5211","","audio/KAmp_Addvox_GBF_7.wav","","0","","","","","1","2560 x 1440","","","","","","","","","","","",""
"html-keyboard-response","18","202130","0.0-20.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","206577","0.0-21.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","4451","","audio/KAmp_Addvox_GBF_7.wav","","0","","","","","","2560 x 1440","26","","","","","","","","","","",""
"html-keyboard-response","20","207078","0.0-22.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","audio/KAmp_Addvox_GBF_7.wav","","","","","","null","1","","26","true","","2","2","","","","","","",""
"html-keyboard-response","21","208079","0.0-23.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","209880","0.0-24.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","217416","0.0-25.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","7541","","audio/KAmp_Sonivox_MAX_1.wav","","0","","","","","13","2560 x 1440","","","","","","","","","","","",""
"html-keyboard-response","24","219217","0.0-26.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","226143","0.0-27.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","6920","","audio/KAmp_Sonivox_MAX_1.wav","","0","","","","","","2560 x 1440","0","","","","","","","","","","",""
"html-keyboard-response","26","226644","0.0-28.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","audio/KAmp_Sonivox_MAX_1.wav","","","","","","null","13","","0","true","","3","2","","","","","","",""
"html-keyboard-response","27","227646","0.0-29.0","Chrome","88.0","Windows","10","2560 x 1440","5b0d9326bd9c3100015660b8","24","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
