"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","33","0.0-0.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","1778358","0.0-1.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","1778179.3299999554","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","1852635","0.0-2.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","74273.23000016622","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","1865071","0.0-3.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","12426.140000112355","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","1866230","0.0-4.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","1156.0649999883026",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","1872816","0.0-5.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","6584.374999860302","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","1874789","0.0-6.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","1970.919999992475","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","1888260","0.0-9.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","1916583","0.0-10.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","28322.139999829233","","","","","","","[{""page_index"":0,""viewing_time"":15660.889999940991},{""page_index"":1,""viewing_time"":9021.354999858886},{""page_index"":2,""viewing_time"":3639.1750001348555}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","1917586","0.0-11.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","1919388","0.0-12.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","1928340","0.0-13.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","8869","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","17","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","12","1930142","0.0-14.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","1938485","0.0-15.0","Chrome","88.0","Windows","10","1920 x 1080","5a5e51de76d1c60001ab65b9","40","No","Yes","8339","","audio/KAmp_Spokeman_MAX_3.wav","","0","","","","","","1920 x 1080","40","","","","","","","","","","",""
