"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","154","0.0-0.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","16687","0.0-1.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","15441.210000077263","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","18119","0.0-2.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","1428.650000016205","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","36287","0.0-3.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","18155.554999946617","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","37928","0.0-4.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","1638.4199999738485",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","51650","0.0-5.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","13719.105000025593","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","54086","0.0-6.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","2433.500000042841","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","57128","0.0-9.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","80329","0.0-10.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","23198.489999980666","","","","","","","[{""page_index"":0,""viewing_time"":12609.479999984615},{""page_index"":1,""viewing_time"":6910.105000017211},{""page_index"":2,""viewing_time"":3677.889999933541}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","81332","0.0-11.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","83135","0.0-12.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","105783","0.0-13.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","22629","","audio/KAmp_Boomvox_GBF_6.wav","","0","","","","","13","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","12","107585","0.0-14.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","111395","0.0-15.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3811","","audio/KAmp_Boomvox_GBF_6.wav","","0","","","","","","1366 x 768","50","","","","","","","","","","",""
"html-keyboard-response","14","111897","0.0-16.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Boomvox_GBF_6.wav","","","","","","null","13","","50","true","4","1","2","","","","","","",""
"html-keyboard-response","15","112899","0.0-17.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","114701","0.0-18.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","120811","0.0-19.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","6101","","audio/KAmp_Addvox_GBF_7.wav","","0","","","","","2","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","18","122614","0.0-20.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","126208","0.0-21.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3592","","audio/KAmp_Addvox_GBF_7.wav","","0","","","","","","1366 x 768","46","","","","","","","","","","",""
"html-keyboard-response","20","126711","0.0-22.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Addvox_GBF_7.wav","","","","","","null","2","","46","true","","2","2","","","","","","",""
"html-keyboard-response","21","127720","0.0-23.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","129522","0.0-24.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","133258","0.0-25.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3728","","audio/KAmp_Chattervox_GBF_7.wav","","0","","","","","0","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","24","135060","0.0-26.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","138335","0.0-27.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3269","","audio/KAmp_Chattervox_GBF_7.wav","","0","","","","","","1366 x 768","63","","","","","","","","","","",""
"html-keyboard-response","26","138838","0.0-28.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Chattervox_GBF_7.wav","","","","","","null","0","","63","true","3","3","2","","","","","","",""
"html-keyboard-response","27","139839","0.0-29.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","141643","0.0-30.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","29","146530","0.0-31.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","4880","","audio/KAmp_Minibuddy_GBF_1.wav","","0","","","","","9","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","30","148337","0.0-32.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","31","151984","0.0-33.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3651","","audio/KAmp_Minibuddy_GBF_1.wav","","0","","","","","","1366 x 768","26","","","","","","","","","","",""
"html-keyboard-response","32","152486","0.0-34.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Minibuddy_GBF_1.wav","","","","","","null","9","","26","true","","4","2","","","","","","",""
"html-keyboard-response","33","153488","0.0-35.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","34","155290","0.0-36.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","35","160086","0.0-37.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","4792","","audio/KAmp_Addvox_GBF_6.wav","","0","","","","","5","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","36","161891","0.0-38.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","37","168471","0.0-39.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","6571","","audio/KAmp_Addvox_GBF_6.wav","","0","","","","","","1366 x 768","45","","","","","","","","","","",""
"html-keyboard-response","38","168972","0.0-40.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Addvox_GBF_6.wav","","","","","","null","5","","45","true","","5","2","","","","","","",""
"html-keyboard-response","39","169981","0.0-41.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","40","171798","0.0-42.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","41","178123","0.0-43.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","6331","","audio/KAmp_NoDevice_ND_6.wav","","0","","","","","50","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","42","179928","0.0-44.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","43","184456","0.0-45.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","4528","","audio/KAmp_NoDevice_ND_6.wav","","0","","","","","","1366 x 768","0","","","","","","","","","","",""
"html-keyboard-response","44","184958","0.0-46.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_NoDevice_ND_6.wav","","","","","","null","50","","0","true","9","6","2","","","","","","",""
"html-keyboard-response","45","185961","0.0-47.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","46","187763","0.0-48.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","47","199020","0.0-49.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","11248","","audio/foil3_capev1_noise-3snr.wav","","0","","","","","62","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","48","200823","0.0-50.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","49","206439","0.0-51.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","5611","","audio/foil3_capev1_noise-3snr.wav","","0","","","","","","1366 x 768","80","","","","","","","","","","",""
"html-keyboard-response","50","206950","0.0-52.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/foil3_capev1_noise-3snr.wav","","","","","","null","62","","80","true","","7","2","","","","","","",""
"html-keyboard-response","51","207952","0.0-53.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","52","209756","0.0-54.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","53","217001","0.0-55.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","7240","","audio/KAmp_Chattervox_GBF_1.wav","","0","","","","","23","1366 x 768","","","","","","","","","","","",""
"html-keyboard-response","54","218803","0.0-56.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","55","222045","0.0-57.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","3240","","audio/KAmp_Chattervox_GBF_1.wav","","0","","","","","","1366 x 768","67","","","","","","","","","","",""
"html-keyboard-response","56","222548","0.0-58.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","audio/KAmp_Chattervox_GBF_1.wav","","","","","","null","23","","67","true","","8","2","","","","","","",""
"html-keyboard-response","57","223550","0.0-59.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","58","225360","0.0-60.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","59","233379","0.0-61.0","Chrome","87.0","Windows","10","1366 x 768","5f7fc6916ac9d319565833c3","21","no","Yes","8008","","audio/KAmp_NadyWA120BT_MAX_6.wav","","0","","","","","54","1366 x 768","","","","","","","","","","","",""
