"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","16","0.0-0.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","23664","0.0-1.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","23487.004999886267","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","31872","0.0-2.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","8205.73000004515","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","52640","0.0-3.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","20761.605000006966","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","54839","0.0-4.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","2197.950000059791",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","62216","0.0-5.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","7374.059999943711","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","64992","0.0-6.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","2774.7400000225753","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","68197","0.0-9.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","100736","0.0-10.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","32537.03000000678","","","","","","","[{""page_index"":0,""viewing_time"":14873.5699999379},{""page_index"":1,""viewing_time"":14903.204999980517},{""page_index"":2,""viewing_time"":2759.7550000064075}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","101737","0.0-11.0","Chrome","88.0","Windows","10","1920 x 1080","5ca6c9f3a752220001ca1be3","19","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
