"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","5192","0.0-0.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","105442","0.0-1.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","100132.45000000007","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","136800","0.0-2.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","31331.089999999676","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","167598","0.0-3.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","30696.579999999813","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","170351","0.0-4.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","2724.5800000000745",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","188281","0.0-5.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","17731.59999999916","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","191763","0.0-6.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","3444.4750000002095","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","198228","0.0-9.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","238633","0.0-10.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","40400.759999999544","","","","","","","[{""page_index"":0,""viewing_time"":19362.57000000024},{""page_index"":1,""viewing_time"":13565.504999999597},{""page_index"":2,""viewing_time"":7453.1150000002235}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","239635","0.0-11.0","Chrome","88.0","macOS","10.12.6","1280 x 800","5e66b86bcbbd9b0476a82584","37","No","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
