"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","12","0.0-0.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","2600718","0.0-1.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","2600511.2299999455","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2618467","0.0-2.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","17748.120000003837","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","2635558","0.0-3.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","17087.749999947846","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2637092","0.0-4.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","1532.4750000145286",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","2651123","0.0-5.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","14030.20000003744","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","2659839","0.0-6.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","8713.93500000704","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","2661945","0.0-9.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","2684952","0.0-10.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","23006.275000050664","","","","","","","[{""page_index"":0,""viewing_time"":12289.745000074618},{""page_index"":1,""viewing_time"":6715.879999916069},{""page_index"":2,""viewing_time"":4000.260000000708}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2685953","0.0-11.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","2687755","0.0-12.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","2692336","0.0-13.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","4512","","audio/KAmp_Sonivox_MAX_3.wav","","0","","","","","9","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","12","2694137","0.0-14.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","2698269","0.0-15.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","4139","","audio/KAmp_Sonivox_MAX_3.wav","","0","","","","","","1920 x 1080","76","","","","","","","","","","",""
"html-keyboard-response","14","2698778","0.0-16.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","audio/KAmp_Sonivox_MAX_3.wav","","","","","","null","9","","76","true","","1","2","","","","","","",""
"html-keyboard-response","15","2699779","0.0-17.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","2701580","0.0-18.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","2707295","0.0-19.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","5712","","audio/KAmp_Addvox_GBF_6.wav","","0","","","","","28","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","18","2709107","0.0-20.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","2712962","0.0-21.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","3861","","audio/KAmp_Addvox_GBF_6.wav","","0","","","","","","1920 x 1080","90","","","","","","","","","","",""
"html-keyboard-response","20","2713468","0.0-22.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","audio/KAmp_Addvox_GBF_6.wav","","","","","","null","28","","90","true","","2","2","","","","","","",""
"html-keyboard-response","21","2714472","0.0-23.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","2716283","0.0-24.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","2720844","0.0-25.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","4560","","audio/KAmp_Chattervox_GBF_1.wav","","0","","","","","13","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","24","2722645","0.0-26.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","2726428","0.0-27.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","3779","","audio/KAmp_Chattervox_GBF_1.wav","","0","","","","","","1920 x 1080","96","","","","","","","","","","",""
"html-keyboard-response","26","2726935","0.0-28.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","audio/KAmp_Chattervox_GBF_1.wav","","","","","","null","13","","96","true","","3","2","","","","","","",""
"html-keyboard-response","27","2727948","0.0-29.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","2729750","0.0-30.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","29","2735089","0.0-31.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","5341","","audio/KAmp_Boomvox_GBF_7.wav","","0","","","","","17","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","30","2736890","0.0-32.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","31","2742064","0.0-33.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","5168","","audio/KAmp_Boomvox_GBF_7.wav","","0","","","","","","1920 x 1080","83","","","","","","","","","","",""
"html-keyboard-response","32","2742571","0.0-34.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","audio/KAmp_Boomvox_GBF_7.wav","","","","","","null","17","","83","true","","4","2","","","","","","",""
"html-keyboard-response","33","2743588","0.0-35.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","34","2745391","0.0-36.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","35","2751143","0.0-37.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","5749","","audio/KAmp_Minibuddy_GBF_1.wav","","0","","","","","18","1920 x 1080","","","","","","","","","","","",""
"html-keyboard-response","36","2752945","0.0-38.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","37","2756056","0.0-39.0","Chrome","88.0","Windows","10","1920 x 1080","5fef51d5b890b1d99daa1fd0","29","No","Yes","3112","","audio/KAmp_Minibuddy_GBF_1.wav","","0","","","","","","1920 x 1080","59","","","","","","","","","","",""
