"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","7","0.0-0.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","23560","0.0-1.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","23369.180000008782","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","70451","0.0-2.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","46887.28999999876","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","84035","0.0-3.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","13567.689999996219","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","85553","0.0-4.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","1514.550000007148",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","112900","0.0-5.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","27342.585000005784","","audio/attention/check1_70.wav","0","5","","","","","","","","","","","","","","","","","",""
"html-button-response","6","115450","0.0-6.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","2547.3950000014156","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","119233","0.0-9.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","145730","0.0-10.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","26493.530000007013","","","","","","","[{""page_index"":0,""viewing_time"":12180.034999997588},{""page_index"":1,""viewing_time"":11016.765000007581},{""page_index"":2,""viewing_time"":3295.914999995148}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","146734","0.0-11.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","148537","0.0-12.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","165834","0.0-13.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","17189","","audio/KAmp_Minibuddy_GBF_2.wav","","1","","","","","7","1440 x 757","","","","","","","","","","","",""
"html-keyboard-response","12","167637","0.0-14.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","181617","0.0-15.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","13971","","audio/KAmp_Minibuddy_GBF_2.wav","","0","","","","","","1440 x 757","41","","","","","","","","","","",""
"html-keyboard-response","14","182121","0.0-16.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","audio/KAmp_Minibuddy_GBF_2.wav","","","","","","null","7","","41","true","","1","2","","","","","","",""
"html-keyboard-response","15","183125","0.0-17.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","184929","0.0-18.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","189502","0.0-19.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4571","","audio/KAmp_Voicebuddy_MAX_2.wav","","0","","","","","30","1440 x 757","","","","","","","","","","","",""
"html-keyboard-response","18","191305","0.0-20.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","194088","0.0-21.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","2779","","audio/KAmp_Voicebuddy_MAX_2.wav","","0","","","","","","1440 x 757","35","","","","","","","","","","",""
"html-keyboard-response","20","194596","0.0-22.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","audio/KAmp_Voicebuddy_MAX_2.wav","","","","","","null","30","","35","true","","2","2","","","","","","",""
"html-keyboard-response","21","195603","0.0-23.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","197415","0.0-24.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","202621","0.0-25.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","5200","","audio/KAmp_Spokeman_MAX_2.wav","","0","","","","","26","1440 x 757","","","","","","","","","","","",""
"html-keyboard-response","24","204424","0.0-26.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","209018","0.0-27.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4589","","audio/KAmp_Spokeman_MAX_2.wav","","0","","","","","","1440 x 757","46","","","","","","","","","","",""
"html-keyboard-response","26","209522","0.0-28.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","audio/KAmp_Spokeman_MAX_2.wav","","","","","","null","26","","46","true","4","3","2","","","","","","",""
"html-keyboard-response","27","210526","0.0-29.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","212330","0.0-30.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","29","216953","0.0-31.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4619","","audio/KAmp_NadyWA120BT_MAX_2.wav","","0","","","","","41","1440 x 757","","","","","","","","","","","",""
"html-keyboard-response","30","218757","0.0-32.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","31","223509","0.0-33.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4741","","audio/KAmp_NadyWA120BT_MAX_2.wav","","0","","","","","","1440 x 757","65","","","","","","","","","","",""
"html-keyboard-response","32","224013","0.0-34.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","audio/KAmp_NadyWA120BT_MAX_2.wav","","","","","","null","41","","65","true","","4","2","","","","","","",""
"html-keyboard-response","33","225016","0.0-35.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","34","226821","0.0-36.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","35","231441","0.0-37.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4608","","audio/KAmp_Spokeman_MAX_1.wav","","0","","","","","8","1440 x 757","","","","","","","","","","","",""
"html-keyboard-response","36","233243","0.0-38.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","37","237503","0.0-39.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","4261","","audio/KAmp_Spokeman_MAX_1.wav","","0","","","","","","1440 x 757","25","","","","","","","","","","",""
"html-keyboard-response","38","238006","0.0-40.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","audio/KAmp_Spokeman_MAX_1.wav","","","","","","null","8","","25","true","","5","2","","","","","","",""
"html-keyboard-response","39","239010","0.0-41.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","40","240815","0.0-42.0","Chrome","88.0","Windows","10","1440 x 900","5c0d9307b75bc50001407596","28","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
