"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"pavlovia","0","24","0.0-0.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","22491","0.0-1.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","22267.39999999106","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","28162","0.0-2.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","5666.79999999702","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of speech samples. You will be asked to type what you heard the person say and rate how much effort it took to understand the speech. <br> While you do have the option to replay the utterance, please do not press replay unless there was some reason you could not hear the utterance (for example, if there was an unexpected loud noise outside). <br> Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","46889","0.0-3.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","18718.29999999702","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","48813","0.0-4.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","1920.1000000089407",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","63021","0.0-5.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","14200","","audio/attention/check1_70.wav","0","3","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","65438","0.0-6.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","2412.2000000029802","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","","",""
"fullscreen","7","71512","0.0-9.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","","","","","","","true","","","","","","","","","","","","","","","","",""
"instructions","8","100325","0.0-10.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","28810.80000001192","","","","","","","[{""page_index"":0,""viewing_time"":22277.20000000298},{""page_index"":1,""viewing_time"":6284.20000000298},{""page_index"":2,""viewing_time"":248}]","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","101328","0.0-11.0","Chrome","91.0","macOS","10.15.7","1440 x 900","60b7a3fa4922f4f386f29045","20","No","Yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
