"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","58","0.0-0.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","13510","0.0-1.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","13319.4450000301","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","24788","0.0-2.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","11276.434999890625","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","37552","0.0-3.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","12759.539999999106","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","41217","0.0-4.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","3664.4250000827014",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","48981","0.0-5.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","7762.415000004694","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","51446","0.0-6.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","2463.5349998716265","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","56932","0.0-9.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","92564","0.0-10.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","35627.739999908954","","","","","","","[{""page_index"":0,""viewing_time"":20681.279999902472},{""page_index"":1,""viewing_time"":10253.845000173897},{""page_index"":2,""viewing_time"":4691.9499998912215}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","93566","0.0-11.0","Chrome","88.0","Windows","10","1600 x 900","5cc30b098ad9bf0001a3e445","33","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
