"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","20","0.0-0.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","44867","0.0-1.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","44666.83500004001","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","55992","0.0-2.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","11121.16999994032","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","68178","0.0-3.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","12168.310000095516","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","69969","0.0-4.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","1787.6599999144673",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","78500","0.0-5.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","8526.560000143945","","audio/attention/check1_70.wav","0","1","","","","","","","","","","","","","","","","","",""
"html-button-response","6","82013","0.0-6.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","3511.865000007674","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","84993","0.0-9.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","127712","0.0-10.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","42717.18500019051","","","","","","","[{""page_index"":0,""viewing_time"":26927.34000016935},{""page_index"":1,""viewing_time"":11481.824999907985},{""page_index"":2,""viewing_time"":4306.774999946356}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","128716","0.0-11.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","130519","0.0-12.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","141066","0.0-13.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","10501","","audio/KAmp_Sonivox_MAX_2.wav","","0","","","","","0","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","12","142867","0.0-14.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","147012","0.0-15.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","4144","","audio/KAmp_Sonivox_MAX_2.wav","","0","","","","","","1440 x 900","50","","","","","","","","","","",""
"html-keyboard-response","14","147513","0.0-16.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","audio/KAmp_Sonivox_MAX_2.wav","","","","","","null","0","","50","true","","1","2","","","","","","",""
"html-keyboard-response","15","148515","0.0-17.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","150318","0.0-18.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","155367","0.0-19.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","5045","","audio/KAmp_Minibuddy_GBF_6.wav","","0","","","","","0","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","18","157171","0.0-20.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","160223","0.0-21.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","3051","","audio/KAmp_Minibuddy_GBF_6.wav","","0","","","","","","1440 x 900","50","","","","","","","","","","",""
"html-keyboard-response","20","160724","0.0-22.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","audio/KAmp_Minibuddy_GBF_6.wav","","","","","","null","0","","50","true","","2","2","","","","","","",""
"html-keyboard-response","21","161725","0.0-23.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","163526","0.0-24.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","171090","0.0-25.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","7568","","audio/KAmp_Sonivox_MAX_6.wav","","0","","","","","6","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","24","172893","0.0-26.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","176067","0.0-27.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","3173","","audio/KAmp_Sonivox_MAX_6.wav","","0","","","","","","1440 x 900","55","","","","","","","","","","",""
"html-keyboard-response","26","176568","0.0-28.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","audio/KAmp_Sonivox_MAX_6.wav","","","","","","null","6","","55","true","9","3","2","","","","","","",""
"html-keyboard-response","27","177572","0.0-29.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","179378","0.0-30.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","29","184090","0.0-31.0","Chrome","88.0","macOS","10.15.7","1440 x 900","60184ca24d8729094aa281eb","22","no","yes","4709","","audio/KAmp_Voicebuddy_MAX_7.wav","","0","","","","","0","1440 x 900","","","","","","","","","","","",""
