"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","9","0.0-0.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","16504","0.0-1.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","16373","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","26883","0.0-2.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","10375","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","35460","0.0-3.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","8550","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","37270","0.0-4.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","1808",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","44199","0.0-5.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","6822.000000000007","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","46108","0.0-6.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","1909","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","49073","0.0-9.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","70267","0.0-10.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","21192.999999999993","","","","","","","[{""page_index"":0,""viewing_time"":9492.999999999993},{""page_index"":1,""viewing_time"":8451},{""page_index"":2,""viewing_time"":3249}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","71268","0.0-11.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","73070","0.0-12.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","80006","0.0-13.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","6934","","audio/KAmp_NoDevice_ND_6.wav","","0","","","","","8","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","12","81808","0.0-14.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","13","84812","0.0-15.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","3004","","audio/KAmp_NoDevice_ND_6.wav","","0","","","","","","1440 x 900","12","","","","","","","","","","",""
"html-keyboard-response","14","85314","0.0-16.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","audio/KAmp_NoDevice_ND_6.wav","","","","","","null","8","","12","true","","1","2","","","","","","",""
"html-keyboard-response","15","86316","0.0-17.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","16","88118","0.0-18.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","17","91991","0.0-19.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","3872","","audio/KAmp_Spokeman_MAX_4.wav","","0","","","","","10","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","18","93793","0.0-20.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","19","96559","0.0-21.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","2763","","audio/KAmp_Spokeman_MAX_4.wav","","0","","","","","","1440 x 900","74","","","","","","","","","","",""
"html-keyboard-response","20","97061","0.0-22.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","audio/KAmp_Spokeman_MAX_4.wav","","","","","","null","10","","74","true","","2","2","","","","","","",""
"html-keyboard-response","21","98063","0.0-23.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","22","99865","0.0-24.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","23","103753","0.0-25.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","3886","","audio/KAmp_Sonivox_MAX_4.wav","","0","","","","","8","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","24","105554","0.0-26.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","25","107684","0.0-27.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","2128","","audio/KAmp_Sonivox_MAX_4.wav","","0","","","","","","1440 x 900","31","","","","","","","","","","",""
"html-keyboard-response","26","108186","0.0-28.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","audio/KAmp_Sonivox_MAX_4.wav","","","","","","null","8","","31","true","","3","2","","","","","","",""
"html-keyboard-response","27","109188","0.0-29.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","28","110990","0.0-30.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","29","114648","0.0-31.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","3657","","audio/KAmp_Chattervox_GBF_6.wav","","0","","","","","2","1440 x 900","","","","","","","","","","","",""
"html-keyboard-response","30","116450","0.0-32.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the LOUDNESS of the speech.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","31","119268","0.0-33.0","Safari","14.0","macOS","10.15.7","1440 x 900","5eadc21b6d4da6467f9d0a6b","22","No","Yes","2815","","audio/KAmp_Chattervox_GBF_6.wav","","0","","","","","","1440 x 900","91","","","","","","","","","","",""
