"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","response","window_resolution","Effort","all","reliability","order","version","project","deviceID","audioID","sentenceID","Transcription","reliability_distance","Transcription_diff","Effort_diff"
"html-keyboard-response","126","507512","0.0-128.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","127","513102","0.0-129.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","5584","","./audio/sim_sm-fs_Babble5_CA02_04.wav","","0","","","","","","1440 x 900","43","","","","","","","","","","","",""
"html-keyboard-response","128","513606","0.0-130.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_sm-fs_Babble5_CA02_04.wav","","","","","","null","","","","true","","20","2","","","","","","","",""
"html-keyboard-response","129","514612","0.0-131.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","130","516416","0.0-132.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","131","526958","0.0-133.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","10538.784999866039","","./audio/sim_sm-fs_quiet_CA01_02.wav","","0","","","","","{""Transcription"":""glue the sheet to the dark blue background""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","132","528765","0.0-134.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","133","531944","0.0-135.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3175","","./audio/sim_sm-fs_quiet_CA01_02.wav","","0","","","","","","1440 x 900","0","","","","","","","","","","","",""
"html-keyboard-response","134","532446","0.0-136.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_sm-fs_quiet_CA01_02.wav","","","","","","null","","","","true","","21","2","","","","","","","",""
"html-keyboard-response","135","533449","0.0-137.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","136","535255","0.0-138.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","137","541976","0.0-139.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","6719.190000090748","","./audio/sim_nm_quiet_CA01_05.wav","","0","","","","","{""Transcription"":""rice is often served in round bowls""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","138","543782","0.0-140.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","139","547118","0.0-141.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3332","","./audio/sim_nm_quiet_CA01_05.wav","","0","","","","","","1440 x 900","0","","","","","","","","","","","",""
"html-keyboard-response","140","547624","0.0-142.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_nm_quiet_CA01_05.wav","","","","","","null","","","","true","4","22","2","","","","","","20","NaN","NaN"
"html-keyboard-response","141","548630","0.0-143.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","142","550436","0.0-144.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","143","568644","0.0-145.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","18205.955000128597","","./audio/sim_nm_Pink5_CA03_09.wav","","0","","","","","{""Transcription"":""it snowed rained and hailed the same morning""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","144","570451","0.0-146.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","145","574124","0.0-147.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3669","","./audio/sim_nm_Pink5_CA03_09.wav","","0","","","","","","1440 x 900","0","","","","","","","","","","","",""
"html-keyboard-response","146","574630","0.0-148.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_nm_Pink5_CA03_09.wav","","","","","","null","","","","true","","23","2","","","","","","","",""
"html-keyboard-response","147","575636","0.0-149.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","Next clip (of 36 in total)","","","","","","null","","","","","","","","","","","","","","",""
"html-keyboard-response","148","577440","0.0-150.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>what the speaker is saying and type exactly what you hear.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-text-response","149","584367","0.0-151.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","6925.720000173897","","./audio/sim_N95-fs_Pink0_CA03_02.wav","","0","","","","","{""Transcription"":""NA""}","1440 x 900","","","","","","","","","","","","",""
"html-keyboard-response","150","586170","0.0-152.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the effort required to understand what the speaker is saying.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","","",""
"audio-slider-response","151","589946","0.0-153.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","3773","","./audio/sim_N95-fs_Pink0_CA03_02.wav","","0","","","","","","1440 x 900","100","","","","","","","","","","","",""
"html-keyboard-response","152","590449","0.0-154.0","Chrome","90.0","macOS","10.15.5","1440 x 900","5968fc630e679d0001fabf37","22","no","yes","null","","./audio/sim_N95-fs_Pink0_CA03_02.wav","","","","","","null","","","","true","","24","2","","","","","","","",""
