"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","5","0.0-0.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","12063","0.0-1.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","11897","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","19441","0.0-2.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","7375","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","27488","0.0-3.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","8041","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","28944","0.0-4.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","1454",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","32559","0.0-5.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","3613","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","34456","0.0-6.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","1895","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","38281","0.0-9.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","53399","0.0-10.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","15115","","","","","","","[{""page_index"":0,""viewing_time"":9446},{""page_index"":1,""viewing_time"":2912},{""page_index"":2,""viewing_time"":2757}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","54403","0.0-11.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
"html-keyboard-response","10","56222","0.0-12.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","null","","<h2> </h2><p><font size=""6"">Please focus on <b></p><p>the QUALITY of the speech audio.</p><p></b> </font></p>","","","","","","null","","","","","","","","","","","","","",""
"audio-slider-response","11","59809","0.0-13.0","Firefox","85.0","Windows","10","1408 x 792","575ec4be3fc3ac000611df4c","26","no","yes","3589","","audio/KAmp_NadyWA120BT_MAX_7.wav","","0","","","","","13","1408 x 689","","","","","","","","","","","",""
