"trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","participant","age","disorder","language","rt","url","stimulus","button_pressed","replay","soundcheck","success","view_history","key_press","Quality","window_resolution","Loudness","all","reliability","order","version","project","deviceID","audioID","sentenceID","reliability_distance","Quality_diff","Loudness_diff"
"pavlovia","0","34","0.0-0.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","30430","0.0-1.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","30266.62999999826","consent_2020-05-12.html","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","41568","0.0-2.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","11132.740000000922","","<h2>Welcome to the perception experiment. </h2> <p>In this experiment, you will be asked to listen to audio recordings of amplified speech samples. You will rate the speech along a scale with anchors. Feel free to use as much or as little of the scale as you feel is appropriate. Once the experiment has started, you will be asked not to further adjust your volume or your screen until it has finished.</p>","0","","","","","","","","","","","","","","","","","","",""
"survey-text","3","62324","0.0-3.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","20737.23500000051","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","64076","0.0-4.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","1747.6949999982025",""," <p>Thanks! Now let's check if the sound works properly and is set at a comfortable volume.</p>","0","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","70994","0.0-5.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","6912.515000003623","","audio/attention/check1_70.wav","0","0","","","","","","","","","","","","","","","","","",""
"html-button-response","6","74049","0.0-6.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","3051.014999997278","","<p>Please select the sentence you just heard:</p><p></p>","3","","true","","","","","","","","","","","","","","","","",""
"fullscreen","7","76475","0.0-9.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","","","","","","","true","","","","","","","","","","","","","","","",""
"instructions","8","91548","0.0-10.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","15069.149999995716","","","","","","","[{""page_index"":0,""viewing_time"":2597.039999993285},{""page_index"":1,""viewing_time"":7880.345000005036},{""page_index"":2,""viewing_time"":4589.6949999951175}]","","","","","","","","","","","","","","",""
"html-keyboard-response","9","92552","0.0-11.0","Chrome","88.0","macOS","10.15.7","1440 x 900","5db65befdbe39d000c5c7fc4","24","no","yes","null","","Next clip (of 70 in total)","","","","","","null","","","","","","","","","","","","","",""
